type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2024-11-19 12:32:25,53.97296811,-7.35519028,9.94,85.530,56.997,1.210,183,22,36,,
T,2024-11-19 12:32:26,53.97295583,-7.35519554,9.94,86.443,56.997,1.220,193,22,36,,
T,2024-11-19 12:32:27,53.97294372,-7.35519691,9.94,85.735,56.997,1.250,179,22,36,,
T,2024-11-19 12:32:28,53.97293219,-7.35520550,9.94,85.910,56.997,1.310,200,21,36,,
T,2024-11-19 12:32:29,53.97292475,-7.35519276,10.34,85.436,56.997,1.430,208,21,36,,
T,2024-11-19 12:32:30,53.97291124,-7.35519656,10.34,86.260,56.997,1.360,191,21,36,,
T,2024-11-19 12:32:31,53.97291360,-7.35519737,9.94,85.896,56.997,0.000,,21,36,,
T,2024-11-19 12:32:32,53.97291042,-7.35519810,9.94,85.881,56.997,0.000,,17,36,,
T,2024-11-19 12:32:33,53.97290279,-7.35520143,9.94,85.834,56.997,0.000,,18,36,,
T,2024-11-19 12:32:34,53.97289923,-7.35520765,9.94,86.033,56.997,0.000,,20,36,,
T,2024-11-19 12:32:35,53.97289243,-7.35521056,9.94,85.644,56.997,0.000,,21,36,,
T,2024-11-19 12:32:36,53.97288767,-7.35521148,9.94,85.275,56.997,0.000,,22,36,,
T,2024-11-19 12:32:37,53.97288071,-7.35521411,9.94,85.193,56.997,0.000,,22,36,,
T,2024-11-19 12:32:38,53.97287817,-7.35521496,9.94,85.508,56.997,0.000,,22,36,,
T,2024-11-19 12:32:39,53.97287468,-7.35521603,9.94,85.162,56.997,0.000,,23,36,,
T,2024-11-19 12:32:40,53.97287171,-7.35521563,9.94,84.685,56.997,0.000,,22,36,,
T,2024-11-19 12:32:41,53.97286844,-7.35521772,9.94,84.594,56.997,0.000,,21,36,,
T,2024-11-19 12:32:42,53.97286702,-7.35521748,9.94,84.483,56.997,0.000,,22,36,,
T,2024-11-19 12:32:43,53.97286455,-7.35521964,9.94,84.620,56.997,0.000,,22,36,,
T,2024-11-19 12:32:44,53.97286381,-7.35522062,9.94,84.746,56.997,0.000,,23,36,,
T,2024-11-19 12:32:45,53.97286255,-7.35522385,9.94,84.989,56.997,0.000,,22,36,,
